id,fighter_name,fighter_record,height,weight,reach,stance,date_of_birth,slpm,td_avg,strike_acc,td_acc,sapm,td_def,strike_def,sub_avg
88,Nick Piedmont,Record: 12-7-1,"5'' 10'"",145,,"",--,0,0,0,0,0,0,0,0
89,Oskar Piechota,Record: 11-3-1 (1 NC),"6'' 0'"",185,76,Southpaw,Jan 24 1990,3.3,0.61,52,40,3.93,38,51,1.5
90,Jamie Pickett,Record: 13-7-0,"6'' 2'"",185,80,Orthodox,Aug 29 1988,2.89,1.57,50,47,3.97,64,46,0.2
91,Brad Pickett,Record: 25-14-0,"5'' 6'"",135,68,Orthodox,Sep 24 1978,3.02,2.47,31,44,4.63,58,55,0.4
92,Vinc Pichel,Record: 14-3-0,"5'' 10'"",155,72,Orthodox,Nov 23 1982,3.56,3,47,54,2.5,23,58,0.2
93,Adam Piccolotti,Record: 9-0-0,"5'' 11'"",155,,"",Oct 23 1988,4.61,2.96,50,60,2.83,100,71,3
94,Nick Pica,Record: 5-1-0,"5'' 10'"",185,,"",--,0,0,0,0,0,0,0,0
95,Kyler Phillips,Record: 10-2-0,"5'' 8'"",135,72,Orthodox,Jun 12 1995,5.5,3.32,49,50,3.43,69,61,0.7
96,John Phillips,Record: 22-11-0 (1 NC),"5'' 11'"",185,75,Southpaw,Jun 09 1985,1.72,0,34,0,4.03,7,49,0
97,Elizabeth Phillips,Record: 6-6-0,"5'' 6'"",135,65,Orthodox,Aug 20 1986,2.6,0.75,33,25,3.07,53,58,0.2
98,Aaron Phillips,Record: 12-4-0,"5'' 9'"",135,71,Southpaw,Aug 05 1989,1.65,0,56,0,3.44,44,39,0.4
99,Dave Phillips,Record: 13-7-0,"6'' 0'"",185,,Orthodox,Jan 12 1980,0,0,0,0,2,0,25,10
100,Wayne Phillips,Record: 7-7-0,--,185,,"",Jun 17 1983,0,0,0,0,0,0,0,0
101,Constantinos Philippou,Record: 13-5-0 (1 NC),"5'' 11'"",185,73,Orthodox,Nov 29 1979,2.19,0.4,35,42,2.73,65,54,0.3
102,Nam Phan,Record: 21-17-0,"5'' 6'"",135,70,Orthodox,Mar 13 1983,4.52,0.18,37,18,6.55,60,59,0.2
103,Cody Pfister,Record: 13-6-1,"5'' 10'"",155,73,Orthodox,Jul 12 1990,1.41,2.82,25,30,2.8,0,51,0
104,Dino Pezao,Record: 1-3-0,--,205,,Orthodox,--,0.66,0,30,0,3.28,0,31,0
105,Forrest Petz,Record: 26-10-0,"5'' 9'"",170,71,Orthodox,Sep 22 1975,2.27,1.3,29,100,2.2,66,57,0
106,Sergio Pettis,Record: 18-5-0,"5'' 6'"",125,69,Orthodox,Aug 18 1993,3.88,0.85,37,40,2.91,67,65,0.4
107,Anthony Pettis,Record: 24-10-0,"5'' 10'"",155,72,Orthodox,Jan 27 1987,3.05,0.61,47,50,3.44,60,54,1.1
108,Peter Petties,Record: 5-3-0 (1 NC),"5'' 11'"",145,72,Southpaw,Dec 20 1990,2.61,0,29,0,8.24,0,48,0
109,Seth Petruzelli,Record: 14-8-0,"6'' 0'"",205,76,Orthodox,Dec 03 1979,2.17,0.46,41,50,2.08,47,55,2.3
110,Armen Petrosyan,Record: 7-1-0,"6'' 3'"",185,71,Orthodox,Nov 02 1990,7.56,0,55,0,3.39,37,54,0
111,Andre Petroski,Record: 8-2-0,"6'' 0'"",185,73,Switch,Jun 12 1991,4.07,4.1,61,47,2.05,100,53,4.1
112,Steven Peterson,Record: 19-10-0,"5'' 10'"",145,70,Orthodox,May 29 1990,5.17,1.61,41,29,5.97,64,53,0.8
113,Cory Peterson,Record: 2-1-0,"6'' 11'"",400,,Orthodox,--,2.17,0,60,0,6.51,0,40,0
114,Tommy Petersen,Record: 2-3-0,--,155,,"",--,0,0,0,0,0,0,0,0
115,Tony Petarra,Record: 2-3-1,"5'' 11'"",196,,Orthodox,--,0,0,0,0,0,0,0,0
116,Leiticia Pestova,Record: 0-2-0,"5'' 6'"",135,,Orthodox,Jan 15 1984,0,0,0,0,24.62,0,44,0
117,Viktor Pesta,Record: 10-4-0,"6'' 3'"",240,77,Orthodox,Jul 15 1990,1.58,3.29,36,28,2.54,100,56,0
118,Raphael Pessoa,Record: 10-2-0,"6'' 3'"",262,78,Orthodox,Mar 09 1989,2.16,0,26,0,3.43,100,42,0
119,Mike Perry,Record: 14-8-0,"5'' 10'"",170,71,Orthodox,Sep 15 1991,4.32,0.81,47,40,5.16,78,52,0.2
120,Jay Perrin,Record: 10-5-0,"5'' 7'"",135,67,Switch,Jun 15 1993,2.83,3,41,60,3.7,54,44,0
121,Hernani Perpetuo,Record: 18-5-0 (1 NC),"6'' 0'"",170,,Orthodox,May 24 1985,2.73,0,29,0,4.37,37,55,0.5
122,Thiago Perpetuo,Record: 9-4-1,"5'' 10'"",170,,Orthodox,Dec 14 1987,5.39,2.82,69,50,3.51,66,51,0
123,Anthony Perosh,Record: 15-10-0,"6'' 3'"",205,75,Orthodox,Oct 05 1972,2.27,2.03,43,22,3.77,33,53,1.1
124,Markus Perez,Record: 12-5-0,"6'' 1'"",185,73,Orthodox,Jun 22 1988,2.6,0.81,47,25,3.72,77,52,1
125,Alex Perez,Record: 24-6-0,"5'' 6'"",125,65,Orthodox,Mar 21 1992,4.62,2.92,47,45,3.08,87,61,1.3
126,Jose Perez,Record: 1-0-0,--,,,"",--,0,0,0,0,0,0,0,0
127,Frankie Perez,Record: 10-4-0,"5'' 11'"",155,73,Orthodox,May 11 1989,1.64,1.75,41,41,2.17,50,54,0.3
128,Alejandro Perez,Record: 23-9-1,"5'' 6'"",135,67,Orthodox,Sep 02 1989,3.45,0.54,35,22,3.18,70,61,0.3
129,Erik Perez,Record: 17-6-0,"5'' 8'"",135,68,Orthodox,Nov 19 1989,3.16,3.16,40,55,2.09,69,66,0.2
130,Philip Perez,Record: 7-5-1 (2 NC),"5'' 5'"",155,,Southpaw,--,1.36,10.23,100,100,0.68,0,66,10.2
131,Rolando Perez,Record: 7-5-2,"5'' 8'"",135,,Orthodox,--,4.23,0,36,0,4.83,100,63,0
132,Daniel Pereira,Record: 9-2-0,"5'' 10'"",185,,"",Dec 13 1990,0,0,0,0,0,0,0,0
133,Alex Pereira,Record: 5-1-0,"6'' 4'"",185,79,Orthodox,Jul 07 1987,5.86,0,60,0,3.05,73,60,0
