index,fighter_name,reach,date_of_birth,slpm,td_avg,strike_acc,td_acc,sapm,td_def,strike_def,sub_avg,total_wins,total_losses,total_draws,height_cm,ufc_wins,ufc_losses,ufc_nc
94,Alex Pereira,79.0,1987-07-07,5.11,0.22,62.0,100.0,3.7,70.0,51.0,0.2,8,2,0,193.04,0,0,6
95,Michel Pereira,73.0,1993-10-06,5.09,1.56,53.0,55.0,3.74,94.0,58.0,0.6,29,11,0,185.42,0,0,9
96,Viviane Pereira,63.0,1993-08-28,2.7,0.25,30.0,100.0,4.48,28.0,58.0,0.2,13,2,0,154.94,0,0,4
97,Robert Peralta,71.0,1986-03-14,3.76,0.59,44.0,66.0,2.97,65.0,53.0,0.0,18,8,0,172.72,0,0,8
98,Godofredo Pepey,73.0,1987-07-02,2.32,0.37,38.0,7.0,3.23,35.0,47.0,1.5,13,6,0,170.18,0,0,11
99,Raquel Pennington,67.0,1988-09-05,4.02,0.93,50.0,27.0,3.34,63.0,62.0,0.6,15,9,0,170.18,0,0,17
100,Nick Penner,,1980-03-26,1.25,0.0,30.0,0.0,4.6,40.0,38.0,0.0,11,3,0,193.04,0,0,2
101,Jessica Penne,67.0,1983-01-30,2.52,1.32,31.0,21.0,4.75,36.0,46.0,0.6,14,8,0,165.1,0,0,8
102,BJ Penn,70.0,1978-12-13,2.76,1.19,48.0,55.0,3.2,74.0,56.0,0.5,16,14,2,175.26,0,0,27
103,Cathal Pendred,75.0,1987-09-02,2.49,2.46,44.0,23.0,3.01,83.0,55.0,0.4,17,4,1,185.42,0,0,6
104,Sherman Pendergarst,,1967-08-01,1.23,4.62,36.0,100.0,3.08,0.0,16.0,0.0,11,18,0,185.42,0,0,1
105,Luis Pena,75.0,1993-07-05,3.66,1.17,46.0,33.0,3.12,48.0,51.0,1.2,9,3,0,190.5,0,0,8
106,Julianna Pena,69.0,1989-08-19,3.16,1.94,47.0,55.0,2.3,23.0,50.0,0.8,12,5,0,167.64,0,0,10
107,Kurt Pellegrino,70.0,1979-05-07,2.45,2.9,43.0,54.0,1.94,69.0,63.0,0.8,16,7,0,172.72,0,0,12
108,Filip Pejic,,1992-07-21,0.0,0.0,0.0,0.0,0.88,0.0,33.0,0.0,12,2,2,172.72,0,0,1
109,Trevor Peek,70.0,1995-01-09,5.09,1.76,56.0,50.0,4.37,51.0,44.0,0.0,9,1,0,175.26,0,0,3
110,Tyson Pedro,79.0,1991-09-17,3.11,0.94,61.0,36.0,2.53,52.0,54.0,0.9,10,4,0,190.5,0,0,10
111,Carlo Pedersoli Jr.,75.0,1993-06-08,4.17,2.91,37.0,44.0,4.12,0.0,61.0,0.0,11,3,0,180.34,0,0,3
112,Ross Pearson,69.0,1984-09-26,3.68,0.74,40.0,35.0,4.09,75.0,62.0,0.0,20,16,0,172.72,0,0,26
113,Jonathan Pearce,71.0,1992-05-01,6.11,5.74,55.0,56.0,3.66,59.0,55.0,0.8,14,4,0,182.88,0,0,6
114,Estevan Payan,,1982-03-14,4.25,0.36,42.0,100.0,3.58,60.0,57.0,0.4,16,12,0,177.8,0,0,3
115,Pawel Pawlak,73.0,1989-02-08,1.67,1.0,33.0,37.0,2.22,70.0,53.0,0.0,12,3,0,182.88,0,0,3
116,Sergei Pavlovich,84.0,1992-05-13,8.72,0.0,49.0,0.0,4.33,75.0,57.0,0.0,18,1,0,190.5,0,0,7
117,Julio Paulino,,1975-12-04,0.97,0.0,27.0,0.0,1.87,37.0,48.0,0.5,23,5,0,182.88,0,0,2
118,Zac Pauga,76.0,1988-02-25,4.44,0.42,62.0,9.0,2.72,100.0,57.0,0.0,7,2,0,187.96,0,0,3
119,Sam Patterson,78.0,1996-04-30,2.56,0.0,36.0,0.0,3.98,33.0,44.0,2.8,10,2,1,190.5,0,0,1
120,Michael Patt,,,1.65,0.0,28.0,0.0,5.53,0.0,55.0,0.0,12,4,0,182.88,0,0,2
121,Alan Patrick,74.0,1983-07-19,1.82,3.01,40.0,33.0,2.95,43.0,43.0,0.3,15,4,0,180.34,0,0,10
122,Claude Patrick,75.0,1980-06-14,1.8,2.32,55.0,53.0,0.89,84.0,69.0,1.7,14,2,0,180.34,0,0,4
123,Jorge Patino,,1973-08-05,1.33,0.54,30.0,25.0,3.14,50.0,53.0,0.0,38,19,2,172.72,0,0,1
124,Ramona Pascual,66.0,1988-09-23,3.87,1.81,57.0,19.0,8.43,100.0,46.0,0.0,6,5,0,170.18,0,0,3
125,Jonny Parsons,69.0,1991-09-06,4.65,0.0,44.0,0.0,4.89,66.0,60.0,0.0,9,2,0,175.26,0,0,1
126,Preston Parsons,71.0,1995-07-15,4.14,3.11,56.0,33.0,3.76,100.0,49.0,3.5,10,4,0,180.34,0,0,3
127,Mick Parkin,79.0,1995-10-02,6.02,1.77,60.0,100.0,3.07,33.0,67.0,0.9,7,0,0,193.04,0,0,1
128,Norman Parke,70.0,1986-12-22,3.06,1.98,35.0,26.0,2.88,77.0,64.0,0.0,23,6,1,180.34,0,0,9
129,HyunSung Park,66.0,1995-11-04,3.51,2.23,48.0,30.0,2.62,100.0,59.0,3.7,8,0,0,170.18,0,0,1
130,JunYong Park,73.0,1991-02-27,4.94,2.1,51.0,50.0,3.66,69.0,53.0,1.2,17,5,0,177.8,0,0,9
131,Karo Parisyan,72.0,1982-08-28,2.49,5.27,41.0,59.0,2.19,59.0,58.0,1.0,24,11,0,177.8,0,0,13
132,Josh Parisian,79.0,1989-06-28,4.54,0.99,48.0,33.0,4.81,46.0,41.0,0.2,15,7,0,193.04,0,0,6
133,Jared Papazian,67.0,1988-02-01,3.33,0.0,39.0,0.0,3.81,50.0,44.0,0.0,20,13,0,172.72,0,0,3
134,Alexandre Pantoja,67.0,1990-04-16,4.41,1.75,48.0,44.0,3.81,66.0,51.0,1.0,26,5,0,165.1,0,0,13
135,Rousimar Palhares,71.0,1980-02-26,1.75,3.93,51.0,45.0,2.04,0.0,59.0,4.1,19,8,0,172.72,0,0,12
136,Soa Palelei,81.0,1977-07-12,2.47,2.2,57.0,47.0,2.68,66.0,48.0,0.0,22,5,0,193.04,0,0,7
137,Sasha Palatnikov,72.0,1989-03-15,6.69,0.72,53.0,100.0,5.44,70.0,52.0,0.0,6,4,0,185.42,0,0,3
138,Bart Palaszewski,70.0,1983-05-30,2.67,0.65,32.0,31.0,3.97,53.0,57.0,0.5,36,17,0,175.26,0,0,4
139,Fredson Paixao,66.0,1979-05-13,1.71,0.62,54.0,11.0,2.31,10.0,62.0,2.2,10,5,0,167.64,0,0,1
140,Raulian Paiva,69.0,1995-10-17,4.14,0.65,42.0,23.0,5.01,77.0,48.0,0.2,21,5,0,172.72,0,0,7
141,Dustin Pague,74.0,1987-08-05,1.65,1.03,53.0,44.0,2.96,55.0,41.0,2.6,12,11,0,175.26,0,0,6
142,Damacio Page,66.0,1982-09-30,2.05,2.63,38.0,64.0,2.47,23.0,51.0,0.9,19,10,0,167.64,0,0,3
143,Fernando Padilla,76.0,1996-12-15,5.51,0.0,38.0,0.0,5.81,100.0,53.0,0.0,15,5,0,185.42,0,0,2
144,Teemu Packalen,75.0,1987-05-22,2.57,2.31,54.0,25.0,3.91,100.0,47.0,1.5,8,3,0,185.42,0,0,4
145,Larissa Pacheco,,1994-09-07,1.21,0.0,19.0,0.0,4.14,0.0,55.0,0.0,10,2,0,170.18,0,0,2
146,Nick Pace,68.0,1987-04-17,1.48,2.52,34.0,43.0,3.14,54.0,57.0,0.5,8,3,0,170.18,0,0,3
147,Alistair Overeem,80.0,1980-05-17,3.67,1.42,64.0,55.0,2.44,73.0,57.0,0.8,47,19,0,193.04,0,0,20
148,Zak Ottow,72.0,1986-12-22,2.63,0.97,36.0,29.0,2.73,57.0,58.0,0.4,17,7,0,180.34,0,0,8
149,Rachael Ostovich,62.0,1991-02-25,2.54,2.03,43.0,83.0,3.97,66.0,57.0,0.8,4,6,0,160.02,0,0,4
150,Nissen Osterneck,,1981-05-01,3.15,0.63,58.0,12.0,2.9,42.0,41.0,1.3,12,4,0,187.96,0,0,1
151,Nick Osipczak,76.0,1984-12-30,2.83,1.2,50.0,45.0,3.77,71.0,50.0,1.0,6,3,0,187.96,0,0,5
152,Ode Osbourne,73.0,1992-01-09,3.74,1.37,39.0,27.0,4.41,68.0,45.0,0.3,12,6,0,170.18,0,0,8
153,Dustin Ortiz,65.0,1988-12-25,2.94,3.01,44.0,36.0,2.17,52.0,56.0,0.1,19,8,0,165.1,0,0,14
154,Tito Ortiz,74.0,1975-01-23,2.59,2.47,46.0,35.0,2.88,54.0,60.0,0.6,19,12,1,190.5,0,0,27
155,Brian Ortega,69.0,1991-02-21,4.19,0.95,38.0,23.0,6.66,56.0,49.0,1.2,15,3,0,172.72,0,0,11
156,Charlie Ontiveros,74.0,1991-07-04,1.89,0.0,41.0,0.0,5.86,30.0,31.0,0.0,11,9,0,187.96,0,0,3
157,David Onama,74.0,1994-06-07,5.38,0.87,46.0,18.0,5.48,45.0,51.0,0.3,11,2,0,180.34,0,0,5
158,Michihiro Omigawa,68.0,1975-12-19,2.01,1.19,39.0,36.0,3.06,49.0,64.0,1.5,17,14,1,167.64,0,0,7
159,Daniel Omielanczuk,74.0,1982-08-31,3.09,0.56,57.0,26.0,3.29,68.0,47.0,0.1,19,8,1,182.88,0,0,9
160,Alan Omer,,1988-09-14,3.49,1.69,55.0,42.0,2.21,66.0,64.0,0.0,20,5,0,177.8,0,0,2
161,Gadzhi Omargadzhiev,71.0,1993-02-24,1.8,1.35,39.0,30.0,2.2,60.0,39.0,0.5,13,2,0,185.42,0,0,2
162,Felipe Olivieri,,1985-04-12,6.68,0.0,58.0,0.0,4.6,71.0,57.0,0.0,14,5,0,175.26,0,0,1
163,Wendell Oliveira Marques,,1983-06-01,3.77,0.0,47.0,0.0,4.4,100.0,47.0,0.0,29,10,0,177.8,0,0,2
164,Ravena Oliveira,65.0,1997-02-20,1.0,2.0,48.0,66.0,1.2,62.0,48.0,0.0,7,2,1,165.1,0,0,1
165,Saimon Oliveira,72.0,1991-04-21,2.82,1.21,41.0,25.0,3.91,35.0,48.0,1.6,18,5,0,162.56,0,0,2
166,Maria Oliveira,69.0,1996-12-12,5.03,0.95,38.0,44.0,5.76,47.0,44.0,0.0,13,7,0,167.64,0,0,4
167,Alex Oliveira,76.0,1988-02-21,2.99,2.35,51.0,38.0,2.55,63.0,46.0,0.6,22,12,1,180.34,0,0,22
168,Ednaldo Oliveira,,1984-02-19,1.03,0.0,22.0,0.0,1.8,42.0,52.0,0.0,17,3,1,195.58,0,0,2
169,Charles Oliveira,74.0,1989-10-17,3.54,2.32,53.0,40.0,3.19,55.0,51.0,2.7,34,9,0,177.8,0,0,32
170,Rafaello Oliveira,71.0,1982-01-26,2.19,2.49,33.0,36.0,3.38,11.0,59.0,1.6,17,8,0,172.72,0,0,8
171,Michal Oleksiejczuk,74.0,1995-02-22,5.12,0.76,50.0,44.0,4.17,48.0,62.0,0.0,19,6,0,182.88,0,0,12
172,Aleksei Oleinik,80.0,1977-06-20,3.29,1.82,48.0,46.0,3.8,37.0,44.0,1.9,60,17,1,187.96,0,0,17
173,Yushin Okami,75.0,1981-07-21,2.06,1.98,38.0,39.0,2.25,84.0,60.0,0.5,34,12,0,187.96,0,0,21
174,Koji Oishi,,1977-05-31,1.43,0.0,9.0,0.0,17.86,0.0,43.0,0.0,25,10,10,172.72,0,0,2
175,Andy Ogle,69.0,1989-02-16,2.24,1.44,44.0,26.0,2.23,58.0,50.0,0.0,9,6,0,172.72,0,0,6
176,Trey Ogden,72.0,1989-11-14,3.42,0.67,41.0,14.0,4.89,100.0,54.0,0.7,16,6,0,180.34,0,0,3
177,Volkan Oezdemir,75.0,1989-09-19,4.59,0.57,47.0,33.0,3.92,80.0,55.0,0.1,19,7,0,187.96,0,0,13
178,Brendan O'Reilly,69.0,1987-06-24,1.9,2.22,47.0,43.0,2.77,36.0,39.0,0.6,6,3,0,170.18,0,0,4
179,Casey O'Neill,69.0,1997-10-07,8.77,1.96,55.0,42.0,5.9,71.0,58.0,0.7,9,1,0,167.64,0,0,5
180,Chuck O'Neil,,1985-09-22,3.13,0.0,37.0,0.0,4.4,0.0,72.0,0.0,17,9,0,187.96,0,0,1
181,Sean O'Malley,72.0,1994-10-24,7.25,0.43,61.0,42.0,3.51,62.0,61.0,0.4,17,1,0,180.34,0,0,11
182,Sean O'Connell,74.0,1983-09-02,5.46,0.0,48.0,0.0,6.77,30.0,45.0,0.5,17,9,0,185.42,0,0,7
183,TJ O'Brien,,1987-01-01,3.77,0.94,46.0,100.0,4.78,0.0,57.0,0.0,20,8,0,187.96,0,0,2
184,Jake O'Brien,76.0,1984-09-25,1.31,6.39,31.0,54.0,1.92,25.0,69.0,0.2,15,4,0,190.5,0,0,7
185,Umar Nurmagomedov,69.0,1996-01-03,4.85,4.28,70.0,45.0,0.73,100.0,75.0,0.9,16,0,0,172.72,0,0,4
186,Abubakar Nurmagomedov,72.0,1989-11-13,2.78,1.25,53.0,22.0,2.61,88.0,65.0,0.0,17,4,1,180.34,0,0,4
187,Said Nurmagomedov,70.0,1992-04-05,3.55,1.01,47.0,16.0,2.13,66.0,57.0,1.4,18,3,0,172.72,0,0,9
188,Khabib Nurmagomedov,70.0,1988-09-20,4.1,5.32,48.0,48.0,1.75,84.0,65.0,0.8,29,0,0,177.8,0,0,13
189,Josiane Nunes,67.0,1993-12-23,7.22,0.0,44.0,0.0,5.85,70.0,52.0,0.0,10,1,0,157.48000000000002,0,0,3
190,Istela Nunes,66.0,1992-07-23,5.02,0.0,45.0,0.0,4.84,50.0,60.0,0.0,6,5,0,162.56,0,0,4
191,Nina Nunes,64.0,1985-12-03,4.39,0.24,45.0,33.0,3.47,73.0,55.0,0.5,11,7,0,165.1,0,0,9
192,Amanda Nunes,69.0,1988-05-30,4.55,2.73,51.0,54.0,2.62,82.0,57.0,0.7,23,5,0,172.72,0,0,18
193,Diego Nunes,67.0,1982-11-30,2.72,1.18,43.0,44.0,2.59,65.0,58.0,0.6,19,7,0,167.64,0,0,6
