id,fighter_url,fighter_name,fighter_record,height,weight,reach,stance,date_of_birth,slpm,td_avg,strike_acc,td_acc,sapm,td_def,strike_def,sub_avg
2626,http://ufcstats.com/fighter-details/ebf298f8ac7e232b,David Blanco,Record: 2-0-0,"5' 7""",145,,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2627,http://ufcstats.com/fighter-details/4a1329cc8eb0928a,Maximo Blanco,Record: 12-8-1 (1 NC),"5' 8""",145,71,Orthodox,Oct 16 1983,4.11,1.85,44.0,36.0,3.19,63.0,66.0,0.3
2628,http://ufcstats.com/fighter-details/669970f7feba8ecd,Erin Blanchfield,Record: 12-1-0,"5' 4""",125,66,Orthodox,May 04 1999,5.58,2.86,52.0,36.0,3.32,83.0,62.0,1.2
2629,http://ufcstats.com/fighter-details/da22387a0407a2dc,Da'Mon Blackshear,Record: 14-6-1,"5' 10""",135,72,Switch,Aug 12 1994,4.28,2.34,47.0,37.0,4.09,66.0,48.0,0.8
2630,http://ufcstats.com/fighter-details/0e5c79b3594ff0ad,Sherrard Blackledge,Record: 5-1-0,"5' 11""",155,75,Orthodox,Aug 16 1993,3.7,4.0,49.0,33.0,3.13,42.0,55.0,0.0
2631,http://ufcstats.com/fighter-details/2adb11835acd815b,Tom Blackledge,Record: 10-7-0,--,205,,Orthodox,--,2.91,0.0,61.0,0.0,2.55,75.0,46.0,0.0
2632,http://ufcstats.com/fighter-details/619d807fa54ae8f7,Jason Blackford,Record: 3-3-0,--,,,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2633,http://ufcstats.com/fighter-details/7e69a4b0961aa555,Brad Blackburn,Record: 18-13-1 (1 NC),"5' 10""",170,73,Orthodox,May 25 1977,4.55,0.93,35.0,50.0,3.59,76.0,65.0,0.7
2634,http://ufcstats.com/fighter-details/b2f743746e8dcfa2,Jason Black,Record: 23-4-1,"5' 8""",155,,Orthodox,Jul 15 1972,1.06,0.48,47.0,33.0,2.6,28.0,45.0,6.2
2635,http://ufcstats.com/fighter-details/99df7d0a2a08a8a8,Jan Blachowicz,Record: 29-10-1,"6' 2""",205,78,Orthodox,Feb 24 1983,3.41,1.09,50.0,50.0,2.91,68.0,53.0,0.3
2636,http://ufcstats.com/fighter-details/27ab7257bf6a3b65,Simon Biyong,Record: 7-1-0,--,205,,,Apr 05 1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2637,http://ufcstats.com/fighter-details/dd6ec6f941c3a414,Davi Bittencourt,Record: 14-4-0,"5' 5""",135,65,Orthodox,Oct 12 1994,4.15,14.15,66.0,33.0,1.51,0.0,46.0,0.0
2638,http://ufcstats.com/fighter-details/a653cb5eb4b39339,Caio Bittencourt,Record: 14-7-0,"6' 0""",185,75,Orthodox,May 22 1991,0.29,0.0,16.0,0.0,0.57,0.0,33.0,0.0
2639,http://ufcstats.com/fighter-details/7a359ef685a304a7,Amaury Bitetti,Record: 5-2-0,"5' 9""",185,,Orthodox,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2640,http://ufcstats.com/fighter-details/2b93ebd9f5417ad2,Michael Bisping,Record: 30-9-0,"6' 1""",185,75,Orthodox,Feb 28 1979,4.33,1.05,38.0,43.0,2.71,63.0,65.0,0.3
2641,http://ufcstats.com/fighter-details/8a22c6b4d29880a3,Chris Birchler,Record: 7-4-0,"6' 3""",205,,Switch,Jun 05 1987,9.35,0.0,46.0,0.0,14.83,0.0,35.0,0.0
2642,http://ufcstats.com/fighter-details/c5a126ace82a6025,Anthony Birchak,Record: 16-8-0,"5' 8""",135,69,Orthodox,May 16 1986,3.93,0.48,36.0,14.0,3.67,61.0,56.0,0.5
2643,http://ufcstats.com/fighter-details/53f02bbc41d99432,Scott Bills,Record: 7-9-1,"5' 10""",170,,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2644,http://ufcstats.com/fighter-details/b3b6e80b7d5f8f0d,Jeremiah Billington,Record: 11-2-0,"5' 9""",205,,Orthodox,Nov 14 1977,1.6,0.0,62.0,0.0,7.06,50.0,35.0,0.0
2645,http://ufcstats.com/fighter-details/ebbf571f349e79d9,Jonas Bilharinho,Record: 9-1-1,"5' 11""",145,75,Switch,May 22 1990,3.71,0.0,60.0,0.0,3.36,100.0,57.0,0.0
2646,http://ufcstats.com/fighter-details/5095b0920a3602aa,Blake Bilder,Record: 8-1-1,"5' 8""",145,68,Switch,Jul 12 1990,4.96,0.45,50.0,10.0,4.54,100.0,56.0,0.9
2647,http://ufcstats.com/fighter-details/1efa064872f089d0,David Bielkheden,Record: 24-12-0,"5' 10""",155,71,Orthodox,Jun 06 1979,1.11,2.65,57.0,63.0,1.64,14.0,54.0,0.0
2648,http://ufcstats.com/fighter-details/87f19d19f4cb73f8,Bibulatov Magomed,Record: 14-2-0,"5' 5""",125,65,Orthodox,Aug 22 1988,3.6,2.85,51.0,40.0,1.83,75.0,52.0,0.0
2649,http://ufcstats.com/fighter-details/9cd047a828dd7515,KB Bhullar,Record: 8-2-0,"6' 4""",185,78,Switch,Oct 12 1991,4.31,0.0,49.0,0.0,5.39,0.0,45.0,0.0
2650,http://ufcstats.com/fighter-details/7e511f8d842a109d,Arjan Bhullar,Record: 9-1-0,"6' 1""",245,75,Orthodox,May 13 1986,2.33,1.73,56.0,75.0,3.25,100.0,59.0,0.0
2651,http://ufcstats.com/fighter-details/a524710c3ef918fa,Fernando Bettega,Record: 7-5-0,--,170,,,Mar 10 1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2652,http://ufcstats.com/fighter-details/e05f4ce199baca91,Khadzhi Bestaev,Record: 10-4-0,"6' 6""",185,76,,Jul 16 1988,6.15,0.0,29.0,0.0,10.0,0.0,43.0,0.0
2653,http://ufcstats.com/fighter-details/0b8d512c79b4baf3,Matt Bessette,Record: 22-9-0 (1 NC),"5' 10""",145,70,Orthodox,Dec 28 1984,4.36,0.64,41.0,28.0,4.45,61.0,58.0,0.3
2654,http://ufcstats.com/fighter-details/3f24c96753dbd9f9,Scott Bessac,Record: 4-6-0,"6' 4""",245,,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2655,http://ufcstats.com/fighter-details/8ba8e8d7eafa7267,Anton Berzin,Record: 5-1-0,"6' 2""",205,,Orthodox,Sep 29 1989,4.4,2.0,46.0,28.0,6.8,0.0,67.0,1.0
2656,http://ufcstats.com/fighter-details/aebfb84d1f6d2d8c,Allen Berube,Record: 4-3-0,"5' 8""",155,,Orthodox,Aug 25 1974,0.92,6.87,80.0,100.0,0.92,0.0,33.0,3.4
2657,http://ufcstats.com/fighter-details/66766984842c13dc,Edson Berto,Record: 17-12-1,"5' 6""",155,,Orthodox,Jul 05 1983,1.76,5.47,36.0,40.0,4.62,0.0,47.0,2.7
2658,http://ufcstats.com/fighter-details/0db70ca89e1c7374,Dieusel Berto,Record: 0-3-0,"5' 9""",200,,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2659,http://ufcstats.com/fighter-details/0b935b9bbbe5fc07,Keith Berry,Record: 15-14-1 (1 NC),"6' 1""",185,,,Oct 25 1987,0.27,0.0,12.0,0.0,6.27,0.0,28.0,0.0
2660,http://ufcstats.com/fighter-details/b3bbe88fecd6a0d2,Dave Berry,Record: 0-1-0,--,,,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2661,http://ufcstats.com/fighter-details/5b2325cd70dbe2ea,Talita Bernardo,Record: 6-4-0,"5' 4""",135,68,Orthodox,Mar 04 1987,3.12,1.62,42.0,22.0,4.04,28.0,55.0,0.5
2662,http://ufcstats.com/fighter-details/2dc1bc1a02961656,Manny Bermudez,Record: 14-2-0,"5' 10""",145,71,Orthodox,Jul 16 1994,2.92,3.06,61.0,54.0,2.68,0.0,46.0,3.1
2663,http://ufcstats.com/fighter-details/6f242453c91a5af0,Dennis Bermudez,Record: 17-9-0,"5' 6""",155,66,Orthodox,Dec 13 1986,4.42,3.89,46.0,40.0,3.07,82.0,59.0,1.1
2664,http://ufcstats.com/fighter-details/e3779ef06e98f185,Keith Berish,Record: 5-1-0 (1 NC),"6' 0""",205,,Orthodox,Nov 14 1985,3.58,1.76,36.0,40.0,4.81,0.0,62.0,0.0
2665,http://ufcstats.com/fighter-details/2891c9f7b26b26fc,Bret Bergmark,Record: 6-1-1,"5' 9""",170,,,Nov 24 1973,2.78,4.17,52.0,100.0,2.78,50.0,37.0,4.2
2666,http://ufcstats.com/fighter-details/aa8189053b3a8994,Kenneth Bergh,Record: 8-0-0 (1 NC),"6' 2""",205,74,Orthodox,Jun 26 1989,4.56,0.0,75.0,0.0,1.27,0.0,28.0,0.0
2667,http://ufcstats.com/fighter-details/21b1132949f2a9b0,Steve Berger,Record: 21-23-2 (1 NC),"5' 11""",170,,Orthodox,May 20 1973,1.0,0.84,27.0,40.0,3.26,16.0,36.0,1.7
2668,http://ufcstats.com/fighter-details/592d23aed850e652,Len Bentley,Record: 10-6-0,"5' 9""",155,,,Nov 30 1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2669,http://ufcstats.com/fighter-details/a25f3dc0df974597,Pat Benson,Record: 3-5-3,"5' 9""",155,,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2670,http://ufcstats.com/fighter-details/20999e27ddd94bda,Ryan Benoit,Record: 10-8-0,"5' 5""",125,68,Orthodox,Aug 25 1989,2.88,0.28,39.0,22.0,3.65,72.0,58.0,0.4
2671,http://ufcstats.com/fighter-details/a30f6d375dea5f9b,Joe Benoit,Record: 11-4-0,"5' 9""",170,,Orthodox,Mar 12 1982,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
2672,http://ufcstats.com/fighter-details/5431dccc09118234,Lance Benoist,Record: 7-2-0,"5' 11""",170,72,Southpaw,Aug 26 1988,3.68,1.5,51.0,33.0,2.7,61.0,56.0,0.0
