fighter1,fighter2,win,reach_diff,height_diff,age_diff,slpm_diff,td_avg_diff,strike_acc_diff,td_acc_diff,sapm_diff,td_def_diff,strike_def_diff,sub_avg_diff,total_wins_diff,total_losses_diff,total_draws_diff,ufc_wins_diff,ufc_losses_diff,ufc_nc_diff
Stephanie Egger,Ailin Perez,1,2.0,2.5400000000000205,-6.146475017111568,-1.1199999999999999,-3.59,-2.0,-21.0,1.0,-25.0,-7.0,0.8,0.0,2.0,0.0,0.0,0.0,4.0
Yohan Lainesse,Darian Weeks,1,4.0,5.079999999999984,-1.2758384668035592,-2.1500000000000004,-1.0,-9.0,-2.0,-1.1199999999999997,-20.0,8.0,0.5,4.0,-1.0,0.0,0.0,0.0,0.0
Nikolas Motta,Cameron VanCamp,1,-4.0,-12.700000000000017,-0.2135523613963039,-1.9099999999999997,0.0,-13.0,0.0,-1.7000000000000002,100.0,18.0,0.0,-2.0,-2.0,-1.0,0.0,0.0,1.0
Guido Cannetti,Randy Costa,1,-5.0,-7.619999999999976,-14.546201232032855,-3.0900000000000003,2.27,9.0,55.0,-4.74,14.0,-7.0,0.4,4.0,4.0,0.0,0.0,0.0,4.0
Mike Jackson,Pete Rodriguez,0,3.0,12.700000000000017,-11.646817248459959,-5.879999999999999,0.71,11.0,33.0,-7.959999999999999,-12.0,18.0,0.0,-4.0,1.0,0.0,0.0,0.0,2.0
Lina Lansberg,Karol Rosa,0,-2.0,5.0800000000000125,-12.799452429842573,-2.7399999999999998,-0.8599999999999999,0.0,-20.0,-0.2999999999999998,-21.0,-4.0,0.1,-7.0,3.0,0.0,0.0,0.0,3.0
Christian Rodriguez,Joshua Weems,1,2.0,-2.539999999999992,3.619438740588638,-1.7400000000000002,-3.3699999999999997,-18.0,14.0,-0.8799999999999999,-30.0,-3.0,1.4,-1.0,-2.0,0.0,0.0,0.0,3.0
Tamires Vidal,Ramona Pascual,1,2.0,-2.539999999999992,9.839835728952773,0.3799999999999999,-1.81,-2.0,-19.0,-3.8999999999999995,-60.0,12.0,0.8,1.0,-3.0,0.0,0.0,0.0,-1.0
Nicolae Negumereanu,Carlos Ulberg,0,1.0,-10.159999999999997,3.8247775496235454,-3.71,0.07000000000000006,-18.0,-47.0,1.9699999999999998,-13.0,-13.0,-0.3,3.0,1.0,0.0,0.0,0.0,0.0
Natalia Silva,Tereza Bleda,1,-6.0,-12.699999999999989,-4.82135523613963,2.18,-1.13,-5.0,6.0,0.3699999999999999,9.0,19.0,-0.7,9.0,4.0,1.0,0.0,0.0,2.0
Istela Nunes,Yazmin Jauregui,0,2.0,2.539999999999992,-6.6009582477754964,-1.2400000000000002,0.0,4.0,0.0,-0.03000000000000025,-50.0,6.0,0.0,-4.0,4.0,0.0,0.0,0.0,1.0
Steven Koslow,Cameron Saaiman,0,2.0,-2.539999999999992,-3.909650924024641,-4.51,4.28,-9.0,19.0,0.48999999999999977,-44.0,-15.0,0.30000000000000004,-3.0,0.0,0.0,0.0,0.0,-3.0
Sergey Morozov,Journey Newson,1,0.0,2.5400000000000205,0.27104722792607805,0.36999999999999966,3.07,11.0,15.0,0.40000000000000036,25.0,-3.0,-0.3,9.0,0.0,0.0,0.0,0.0,-1.0
David Dvorak,Manel Kape,0,0.0,0.0,-1.4428473648186173,-1.6400000000000001,-0.07000000000000006,-11.0,-7.0,-1.2199999999999998,-7.0,0.0,-0.2,1.0,0.0,0.0,0.0,0.0,0.0
Rinat Fakhretdinov,Bryan Battle,1,-3.0,-2.539999999999992,-2.9815195071868583,-1.3199999999999994,4.880000000000001,13.0,38.0,-2.95,55.0,15.0,-0.09999999999999998,10.0,-1.0,0.0,0.0,0.0,-3.0
Rafa Garcia,Maheshate,1,-1.0,-12.699999999999989,-5.322381930184805,1.2800000000000002,3.61,16.0,44.0,-0.6500000000000004,34.0,12.0,0.3,7.0,0.0,0.0,0.0,0.0,4.0
Said Nurmagomedov,Saidyokub Kakhramonov,1,1.0,0.0,-3.6084873374401094,1.5,-5.62,-4.0,-32.0,1.25,-17.0,-1.0,-0.5,8.0,0.0,0.0,0.0,0.0,6.0
Jake Matthews,Matthew Semelsberger,0,-2.0,-5.079999999999984,1.7357973990417521,-0.7899999999999996,0.69,2.0,-17.0,-2.0300000000000002,11.0,5.0,0.6,8.0,0.0,0.0,0.0,0.0,9.0
Cory McKenna,Cheyanne Vlismas,1,-5.0,0.0,4.043805612594114,-1.92,1.79,-10.0,23.0,0.6500000000000004,5.0,-16.0,0.3,1.0,-1.0,0.0,0.0,0.0,0.0
Cody Brundage,Michal Oleksiejczuk,0,-2.0,0.0,-0.7720739219712526,-3.43,1.7499999999999998,4.0,6.0,-1.65,25.0,-19.0,1.1,-10.0,-1.0,0.0,0.0,0.0,-5.0
Bobby Green,Drew Dober,0,1.0,5.0800000000000125,-2.11088295687885,1.5700000000000003,0.5299999999999999,12.0,20.0,-0.7999999999999998,18.0,11.0,0.19999999999999998,4.0,2.0,1.0,0.0,0.0,1.0
Alex Caceres,Julian Erosa,1,-1.0,-7.619999999999976,-1.111567419575633,-2.0599999999999996,-1.0999999999999999,2.0,22.0,-3.4199999999999995,3.0,16.0,0.09999999999999998,-7.0,2.0,0.0,0.0,0.0,16.0
Alessandro Costa,Amir Albazi,0,-1.0,-2.539999999999992,2.2532511978097194,1.02,-1.71,4.0,-33.0,-0.06000000000000005,51.0,0.0,-0.7,-4.0,2.0,0.0,0.0,0.0,-3.0
Damir Ismagulov,Arman Tsarukyan,0,2.0,7.6200000000000045,-5.686516084873374,-0.45999999999999996,-2.43,-6.0,-8.0,0.53,-5.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,-2.0
Sean Strickland,Jared Cannonier,0,-1.0,5.079999999999984,6.951403148528406,1.1400000000000006,0.48000000000000004,-11.0,22.0,0.11000000000000032,21.0,4.0,0.2,11.0,-1.0,0.0,0.0,0.0,4.0
TJ Brown,Erik Silva,1,1.0,0.0,3.184120465434634,1.2000000000000002,-0.5299999999999998,-27.0,-23.0,1.31,-35.0,9.0,1.3,8.0,9.0,0.0,0.0,0.0,7.0
Alexander Hernandez,Billy Quarantillo,0,2.0,-2.5400000000000205,3.813826146475017,-3.08,-0.1100000000000001,-16.0,8.0,-0.71,-3.0,13.0,-1.0999999999999999,-4.0,2.0,0.0,0.0,0.0,3.0
Joaquin Buckley,Chris Curtis,0,1.0,0.0,6.784394250513347,-1.4900000000000002,1.51,-17.0,36.0,-2.9899999999999998,-27.0,3.0,0.0,-13.0,-4.0,0.0,0.0,0.0,4.0
Edmen Shahbazyan,Dalcha Lungiambula,1,-1.0,15.240000000000009,10.30800821355236,0.3900000000000001,0.029999999999999805,6.0,-6.0,0.19999999999999973,-14.0,-9.0,0.6,1.0,-2.0,0.0,0.0,0.0,2.0
Chris Daukaus,Jairzinho Rozenstruik,0,-2.0,2.539999999999992,1.5249828884325805,3.2399999999999998,0.0,5.0,0.0,1.4899999999999998,27.0,10.0,0.0,-1.0,2.0,0.0,0.0,0.0,-4.0
Jay Perrin,Raul Rosas Jr.,0,0.0,-5.079999999999984,-11.315537303216974,2.4299999999999997,-0.7399999999999998,2.0,19.0,2.38,58.0,-2.0,-1.8,2.0,6.0,0.0,0.0,0.0,0.0
Bryce Mitchell,Ilia Topuria,0,1.0,7.6200000000000045,-2.299794661190965,-2.1000000000000005,1.3199999999999998,12.0,-15.0,-1.41,-59.0,-9.0,0.10000000000000009,2.0,2.0,0.0,0.0,0.0,2.0
Dricus Du Plessis,Darren Till,1,2.0,2.539999999999992,1.056810403832991,4.65,2.17,9.0,4.0,0.48,-29.0,-3.0,1.1,2.0,-3.0,-1.0,0.0,0.0,-6.0
Alex Morono,Santiago Ponzinibbio,0,-1.0,-2.539999999999992,3.887748117727584,0.11999999999999922,-0.13999999999999996,0.0,-8.0,-0.5,-10.0,-3.0,0.3,-7.0,2.0,0.0,0.0,0.0,2.0
Paddy Pimblett,Jared Gordon,1,5.0,2.5400000000000205,6.324435318275154,-1.13,-1.0399999999999998,-11.0,-15.0,0.20000000000000018,-6.0,-17.0,2.4,1.0,-3.0,0.0,0.0,0.0,-9.0
Francis Marshall,Marcelo Rojo,1,1.0,2.539999999999992,10.666666666666666,-1.2599999999999998,2.83,-6.0,0.0,-2.3499999999999996,-66.0,-2.0,0.7,-9.0,-8.0,0.0,0.0,0.0,0.0
Natan Levy,Genaro Valdez,1,-1.0,0.0,-0.29568788501026694,-0.07000000000000028,3.83,21.0,13.0,-3.64,5.0,10.0,0.09999999999999998,-2.0,-2.0,0.0,0.0,0.0,0.0
Jonathan Pearce,Darren Elkins,1,0.0,5.079999999999984,7.958932238193018,2.6700000000000004,2.89,17.0,21.0,0.3900000000000001,3.0,3.0,-0.30000000000000004,-14.0,-7.0,0.0,0.0,0.0,-22.0
Michael Johnson,Marc Diakiese,1,0.0,0.0,-6.781656399726215,1.5900000000000003,-2.86,-1.0,-6.0,1.1800000000000002,12.0,5.0,0.1,6.0,12.0,0.0,0.0,0.0,14.0
Scott Holtzman,Clay Guida,0,-1.0,5.079999999999984,1.809719370294319,1.6900000000000004,-1.2800000000000002,14.0,20.0,0.6500000000000004,-2.0,-6.0,-0.39999999999999997,-24.0,-14.0,0.0,0.0,0.0,-22.0
Emily Ducote,Angela Hill,0,-1.0,-2.539999999999992,8.969199178644764,1.4699999999999998,-0.29000000000000004,-1.0,-15.0,3.0100000000000007,16.0,-5.0,-0.1,-2.0,-5.0,0.0,0.0,0.0,-19.0
Phil Rowe,Niko Price,1,4.0,7.6200000000000045,0.7994524298425736,-1.52,0.15000000000000002,10.0,20.0,-1.2799999999999994,-5.0,6.0,-0.29999999999999993,-5.0,-3.0,0.0,0.0,0.0,-11.0
Eryk Anders,Kyle Daukaus,1,-1.0,-5.0800000000000125,-5.856262833675565,0.33999999999999986,-0.5800000000000001,-5.0,-1.0,1.4499999999999997,-3.0,8.0,-1.7999999999999998,4.0,4.0,0.0,0.0,0.0,9.0
Roman Dolidze,Jack Hermansson,1,-1.0,2.5400000000000205,0.09582477754962354,-2.11,0.06000000000000005,0.0,21.0,-0.6800000000000002,-42.0,0.0,1.2999999999999998,-11.0,-6.0,0.0,0.0,0.0,-8.0
Tai Tuivasa,Sergei Pavlovich,0,-9.0,-2.539999999999992,0.840520191649555,-4.74,0.0,0.0,0.0,0.6500000000000004,-21.0,-14.0,0.0,-3.0,5.0,0.0,0.0,0.0,7.0
Matt Schnell,Matheus Nicolau,0,4.0,5.079999999999984,-2.976043805612594,0.5800000000000001,-0.85,-14.0,-1.0,1.3199999999999998,-47.0,-11.0,0.20000000000000007,-3.0,3.0,-1.0,0.0,0.0,3.0
Rafael Dos Anjos,Bryan Barberena,1,-2.0,-10.159999999999997,-4.517453798767967,-2.0100000000000002,1.8699999999999997,-1.0,13.0,-1.5500000000000003,7.0,16.0,0.3,14.0,4.0,0.0,0.0,0.0,16.0
Stephen Thompson,Kevin Holland,1,-6.0,-7.6200000000000045,-9.73305954825462,-0.1899999999999995,-0.51,-4.0,3.0,-0.18000000000000016,11.0,4.0,-0.5,-8.0,-4.0,1.0,0.0,0.0,-1.0
Fernie Garcia,Brady Hiestand,0,-4.0,-2.539999999999992,-7.047227926078029,-1.1300000000000001,-3.7399999999999998,-18.0,4.0,-0.96,5.0,-3.0,0.3,2.0,2.0,0.0,0.0,0.0,0.0
Maria Oliveira,Vanessa Demopoulos,0,10.0,10.159999999999997,8.2217659137577,1.5900000000000003,0.45999999999999996,-5.0,31.0,0.7000000000000002,17.0,1.0,-0.7,3.0,2.0,0.0,0.0,0.0,-2.0
Kevin Natividad,Ricky Turcios,0,-1.0,-7.619999999999976,-0.17522245037645448,-2.4,2.66,-3.0,25.0,0.5899999999999999,38.0,-8.0,-0.2,-4.0,1.0,0.0,0.0,0.0,0.0
Vince Morales,Miles Johns,0,4.0,5.079999999999984,-3.378507871321013,0.6600000000000001,-0.89,-11.0,4.0,1.4900000000000002,-21.0,-15.0,0.0,-3.0,5.0,0.0,0.0,0.0,1.0
Maryna Moroz,Jennifer Maia,0,3.0,7.6200000000000045,2.921286789869952,-0.1999999999999993,0.25000000000000006,-7.0,-5.0,-0.09999999999999964,-13.0,-2.0,0.6,-10.0,-5.0,-1.0,0.0,0.0,-1.0
Zhalgas Zhumagulov,Charles Johnson,0,-4.0,-12.699999999999989,-2.3655030800821355,1.0099999999999998,1.07,-9.0,5.0,2.1100000000000003,21.0,-2.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0
Danny Roberts,Jack Della Maddalena,0,1.0,5.079999999999984,-9.160848733744011,-4.02,-0.030000000000000027,-14.0,-11.0,-1.1,-25.0,-17.0,-0.09999999999999998,2.0,6.0,0.0,0.0,0.0,8.0
Muslim Salikhov,Andre Fialho,1,-4.0,-2.539999999999992,-9.826146475017111,0.07000000000000028,1.06,10.0,-60.0,-3.3499999999999996,7.0,17.0,0.0,3.0,-4.0,0.0,0.0,0.0,2.0
Chase Sherman,Waldo Cortes-Acosta,0,0.0,0.0,-1.8781656399726214,-0.9299999999999997,0.09,-5.0,50.0,2.5900000000000007,14.0,0.0,0.0,6.0,11.0,0.0,0.0,0.0,11.0
Kennedy Nzechukwu,Ion Cutelaba,1,8.0,10.159999999999997,-1.5030800821355237,0.23000000000000043,-4.07,3.0,-8.0,0.9799999999999995,3.0,3.0,0.3,-5.0,-5.0,-1.0,0.0,0.0,-5.0
Julio Arce,Montel Jackson,0,-5.0,-7.6200000000000045,-2.4914442162902124,1.02,-2.9299999999999997,-17.0,-41.0,1.6900000000000002,26.0,4.0,0.10000000000000003,5.0,4.0,0.0,0.0,0.0,0.0
Michael Trizano,SeungWoo Choi,1,-3.0,-2.539999999999992,-0.8432580424366872,0.1499999999999999,-0.51,15.0,12.0,1.3800000000000003,3.0,3.0,0.5,0.0,-3.0,0.0,0.0,0.0,-2.0
Karolina Kowalkiewicz,Silvana Gomez Juarez,1,-1.0,0.0,0.8569472963723477,1.6600000000000001,0.36,11.0,26.0,1.5099999999999998,44.0,-2.0,0.2,5.0,2.0,0.0,0.0,0.0,12.0
Ottman Azaitar,Matt Frevola,0,0.0,-2.539999999999992,-0.30390143737166325,2.0100000000000002,-2.26,10.0,-36.0,1.4,58.0,-11.0,-0.9,2.0,-1.0,-1.0,0.0,0.0,-5.0
Andre Petroski,Wellington Turman,1,1.0,0.0,-5.111567419575633,0.5699999999999998,2.99,2.0,35.0,-0.8400000000000003,26.0,5.0,1.7,-8.0,-4.0,0.0,0.0,0.0,-2.0
Erin Blanchfield,Molly McCann,1,4.0,0.0,8.999315537303216,-0.09999999999999964,1.21,3.0,1.0,-1.5800000000000005,40.0,-1.0,0.7,-1.0,-5.0,0.0,0.0,0.0,-5.0
Dominick Reyes,Ryan Spann,0,-2.0,-2.539999999999992,-1.6591375770020533,1.33,-0.93,10.0,-7.0,-0.14000000000000012,33.0,3.0,-1.1,-9.0,-5.0,0.0,0.0,0.0,-1.0
Brad Riddell,Renato Moicano,0,-1.0,-10.159999999999997,2.3600273785078714,-0.040000000000000036,0.1100000000000001,6.0,-10.0,-0.5400000000000005,-11.0,-7.0,-0.7,-7.0,-1.0,-1.0,0.0,0.0,-7.0
Claudio Puelles,Dan Hooker,0,-3.0,-5.079999999999984,6.184804928131417,-3.26,1.62,1.0,-4.0,-1.8299999999999996,-20.0,-4.0,0.9999999999999999,-10.0,-9.0,0.0,0.0,0.0,-14.0
Frankie Edgar,Chris Gutierrez,0,1.0,-7.619999999999976,-9.514031485284052,-1.27,1.95,-17.0,-6.0,0.08999999999999986,-6.0,0.0,0.19999999999999998,3.0,6.0,-1.0,0.0,0.0,19.0
Michael Chandler,Dustin Poirier,0,-1.0,-2.539999999999992,-2.7405886379192332,-0.6000000000000005,0.8099999999999998,-4.0,2.0,0.28000000000000025,8.0,-7.0,-0.29999999999999993,-6.0,0.0,0.0,0.0,0.0,-24.0
Zhang Weili,Carla Esparza,1,0.0,7.6200000000000045,1.842573579739904,3.7800000000000002,-0.9300000000000002,11.0,7.0,0.75,19.0,-2.0,0.10000000000000003,4.0,-4.0,0.0,0.0,0.0,-5.0
Israel Adesanya,Alex Pereira,0,1.0,0.0,2.0424366872005475,-1.1800000000000002,-0.16999999999999998,-14.0,-86.0,-0.5900000000000003,7.0,5.0,-0.1,16.0,1.0,0.0,0.0,0.0,10.0
Carlos Candelario,Jake Hadley,0,-2.0,2.539999999999992,-5.166324435318275,0.5500000000000003,1.9599999999999997,2.0,11.0,1.9699999999999998,18.0,-16.0,-1.9000000000000001,-2.0,1.0,0.0,0.0,0.0,-2.0
Johnny Munoz,Liudvik Sholinian,1,0.0,-2.5400000000000205,3.07460643394935,-0.06000000000000005,2.4,6.0,25.0,-3.01,-21.0,0.0,1.8,3.0,0.0,-1.0,0.0,0.0,4.0
Polyana Viana,Jinh Yu Frey,1,2.0,5.079999999999984,7.069130732375085,0.21999999999999975,-0.08999999999999997,-2.0,-3.0,-1.6000000000000005,-47.0,3.0,1.8,2.0,-4.0,0.0,0.0,0.0,1.0
Mario Bautista,Benito Lopez,1,-4.0,-2.5400000000000205,-0.7638603696098563,0.9300000000000006,2.72,6.0,50.0,-0.9799999999999995,-17.0,-3.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0
Shanna Young,Miranda Maverick,0,0.0,10.159999999999997,-6.360027378507871,-0.5299999999999998,-2.41,1.0,-48.0,2.26,11.0,-16.0,0.09999999999999998,-5.0,1.0,0.0,0.0,0.0,-4.0
Mark Madsen,Grant Dawson,0,0.0,-5.0800000000000125,-9.409993155373032,0.27,-0.5900000000000003,-4.0,30.0,1.4,22.0,8.0,-1.5,-8.0,-1.0,-1.0,0.0,0.0,-5.0
Nate Maness,Tagir Ulanbekov,0,2.0,7.6200000000000045,-0.11225188227241616,-1.02,-2.94,4.0,33.0,1.0,17.0,-14.0,-0.6000000000000001,1.0,1.0,0.0,0.0,0.0,2.0
Shayilan Nuerdanbieke,Darrick Minner,1,0.0,2.539999999999992,4.016427104722792,-0.3500000000000001,0.5,-20.0,-39.0,0.6600000000000001,-26.0,15.0,-2.7,13.0,-3.0,0.0,0.0,0.0,-1.0
Daniel Rodriguez,Neil Magny,0,-6.0,-5.0800000000000125,-0.5886379192334018,3.8499999999999996,-1.6,4.0,10.0,2.8800000000000003,8.0,3.0,-0.19999999999999998,-11.0,-8.0,0.0,0.0,0.0,-21.0
Marina Rodriguez,Amanda Lemos,0,0.0,5.0800000000000125,-0.06297056810403832,1.2299999999999995,-0.57,-7.0,-13.0,-1.77,11.0,14.0,-0.6000000000000001,4.0,0.0,1.0,0.0,0.0,2.0
Cody Durden,Carlos Mota,1,-2.0,7.6200000000000045,-4.046543463381246,2.33,5.41,8.0,50.0,1.81,30.0,-2.0,-0.6,8.0,2.0,1.0,0.0,0.0,7.0
Steve Garcia,Chase Hooper,1,1.0,-2.539999999999992,-7.310061601642711,-0.15000000000000036,0.040000000000000036,5.0,22.0,-1.06,44.0,10.0,-1.7000000000000002,2.0,2.0,-1.0,0.0,0.0,-2.0
Joseph Holmes,JunYong Park,0,7.0,15.23999999999998,4.347707049965777,-2.0600000000000005,-0.6100000000000001,2.0,-10.0,-0.5800000000000001,-19.0,1.0,-0.3999999999999999,-9.0,-1.0,0.0,0.0,0.0,-5.0
Andrei Arlovski,Marcos Rogerio de Lima,0,2.0,5.0800000000000125,-6.3874058863791925,0.16999999999999993,-0.9500000000000001,-11.0,-11.0,0.2400000000000002,17.0,6.0,-0.3,13.0,12.0,-1.0,0.0,0.0,23.0
Phil Hawes,Roman Dolidze,0,1.0,-5.0800000000000125,0.48459958932238195,2.53,0.5599999999999998,15.0,-14.0,0.6900000000000004,67.0,0.0,-1.5,0.0,3.0,0.0,0.0,0.0,-1.0
Dustin Jacoby,Khalil Rountree Jr.,0,0.0,5.0800000000000125,-1.8973305954825461,1.73,0.4,8.0,25.0,-0.14000000000000057,4.0,9.0,-0.1,6.0,2.0,1.0,0.0,0.0,-2.0
Tresean Gore,Josh Fremd,1,-1.0,-10.159999999999997,0.42984257357973993,0.10999999999999988,2.2,10.0,46.0,3.5,50.0,0.0,-0.19999999999999996,-6.0,-3.0,0.0,0.0,0.0,-2.0
Waldo Cortes-Acosta,Jared Vanderaa,1,-2.0,0.0,-0.6078028747433265,2.01,-0.18,6.0,-50.0,-1.6100000000000003,40.0,7.0,0.0,-2.0,-9.0,0.0,0.0,0.0,-3.0
Tim Means,Max Griffin,0,-1.0,7.6200000000000045,-1.7741273100616017,1.0099999999999998,-0.32000000000000006,0.0,1.0,-0.29000000000000004,-4.0,3.0,-0.09999999999999998,14.0,5.0,1.0,0.0,0.0,13.0
Arnold Allen,Calvin Kattar,1,-2.0,-7.6200000000000045,5.8261464750171115,-1.7800000000000002,0.7000000000000002,1.0,21.0,-4.24,-15.0,7.0,0.19999999999999998,-4.0,-5.0,0.0,0.0,0.0,-1.0
Malcolm Gordon,Muhammad Mokaev,0,1.0,0.0,-10.198494182067078,0.8099999999999998,-4.859999999999999,-9.0,-23.0,1.0699999999999998,9.0,-10.0,-0.5,3.0,7.0,0.0,0.0,0.0,1.0
AJ Dobson,Armen Petrosyan,0,5.0,-5.0800000000000125,1.2101300479123889,-1.5899999999999999,1.59,-5.0,42.0,2.22,28.0,-9.0,0.3,-2.0,0.0,0.0,0.0,0.0,-1.0
Abubakar Nurmagomedov,Gadzhi Omargadzhiev,1,1.0,-5.079999999999984,-3.2826830937713893,0.9799999999999998,-0.10000000000000009,14.0,-8.0,0.4099999999999997,28.0,26.0,-0.5,4.0,2.0,1.0,0.0,0.0,2.0
Volkan Oezdemir,Nikita Krylov,0,-2.0,-2.539999999999992,-2.4640657084188913,0.20999999999999996,-1.7200000000000002,-8.0,-5.0,1.4499999999999997,27.0,11.0,-1.2999999999999998,-11.0,-2.0,0.0,0.0,0.0,-5.0
Makhmud Muradov,Caio Borralho,0,0.0,10.159999999999997,-2.937713894592745,1.62,0.41000000000000014,-18.0,0.0,0.7,20.0,2.0,-0.49999999999999994,12.0,7.0,0.0,0.0,0.0,2.0
Belal Muhammad,Sean Brady,1,0.0,2.539999999999992,-4.375085557837098,0.3799999999999999,-0.8199999999999998,-10.0,-15.0,-0.21999999999999975,6.0,-5.0,-0.6000000000000001,8.0,2.0,0.0,0.0,0.0,12.0
Manon Fiorot,Katlyn Chookagian,1,-3.0,-5.079999999999984,1.1389459274469542,1.46,1.09,5.0,31.0,-1.1,37.0,6.0,-0.3,-7.0,-4.0,0.0,0.0,0.0,-10.0
Mateusz Gamrot,Beneil Dariush,0,-2.0,0.0,1.5989048596851472,-0.8199999999999998,2.45,1.0,-4.0,0.54,10.0,2.0,-0.7,1.0,-3.0,-1.0,0.0,0.0,-14.0
Petr Yan,Sean O'Malley,0,-5.0,-10.159999999999997,-1.6974674880219027,-2.2199999999999998,1.28,-8.0,10.0,0.75,23.0,-2.0,-0.30000000000000004,-1.0,4.0,0.0,0.0,0.0,1.0
TJ Dillashaw,Aljamain Sterling,0,-4.0,-2.539999999999992,-3.477070499657769,0.35999999999999943,-0.4099999999999999,-11.0,6.0,1.06,32.0,4.0,0.0,-5.0,1.0,0.0,0.0,0.0,-1.0
Charles Oliveira,Islam Makhachev,0,4.0,0.0,-2.026009582477755,1.08,-0.8500000000000001,-7.0,-20.0,1.92,-35.0,-10.0,1.7000000000000002,9.0,8.0,0.0,0.0,0.0,17.0
Tatsuro Taira,CJ Vergara,1,2.0,2.539999999999992,8.61054072553046,-2.78,2.41,12.0,41.0,-3.75,-14.0,-6.0,2.5999999999999996,2.0,-4.0,-1.0,0.0,0.0,-1.0
Sam Hughes,Piera Rodriguez,0,1.0,5.079999999999984,-0.3723477070499658,0.33000000000000007,-2.19,0.0,0.0,1.2500000000000004,-9.0,-3.0,0.0,-1.0,4.0,0.0,0.0,0.0,4.0
Joanderson Brito,Lucas Alexander,1,-1.0,-7.6200000000000045,-0.45722108145106094,-1.0300000000000002,3.89,-1.0,72.0,1.16,-66.0,-22.0,0.5,7.0,0.0,1.0,0.0,0.0,2.0
Nick Maximov,Jacob Malkoun,0,3.0,7.6200000000000045,2.327173169062286,-1.9600000000000002,-3.04,-11.0,1.0,0.1499999999999999,35.0,-4.0,-0.3,1.0,-1.0,0.0,0.0,0.0,-2.0
Mana Martinez,Brandon Davis,1,-2.0,0.0,5.880903490759754,-0.34999999999999964,-0.020000000000000018,13.0,0.0,0.3200000000000003,-32.0,-8.0,0.4,-4.0,-6.0,0.0,0.0,0.0,-5.0
Misha Cirkunov,Alonzo Menifield,0,1.0,7.6200000000000045,-0.6379192334017796,0.040000000000000036,3.5300000000000002,-6.0,9.0,-0.029999999999999805,1.0,5.0,1.4,1.0,6.0,-1.0,0.0,0.0,2.0
Raphael Assuncao,Victor Henry,1,-2.0,-5.0800000000000125,-4.791238877481177,-5.039999999999999,1.65,-12.0,39.0,-3.45,0.0,19.0,-0.39999999999999997,5.0,4.0,0.0,0.0,0.0,15.0
Dusko Todorovic,Jordan Wright,1,-3.0,-2.5400000000000205,2.614647501711157,1.4400000000000004,-1.13,1.0,-33.0,-1.4800000000000004,-55.0,15.0,-0.4,0.0,-1.0,0.0,0.0,0.0,0.0
Cub Swanson,Jonathan Martinez,0,0.0,0.0,-10.464065708418891,0.0600000000000005,0.6500000000000001,0.0,11.0,0.08000000000000007,-8.0,1.0,0.30000000000000004,10.0,9.0,0.0,0.0,0.0,10.0
Viviane Araujo,Alexa Grasso,0,2.0,-2.539999999999992,-6.715947980835044,-0.33000000000000007,1.4200000000000002,4.0,1.0,1.2400000000000002,18.0,-3.0,0.09999999999999998,-4.0,2.0,-1.0,0.0,0.0,-2.0
Julija Stoliarenko,Chelsea Chandler,0,-2.0,-2.539999999999992,2.3737166324435317,-0.31000000000000005,0.13,-5.0,-3.0,1.4999999999999996,29.0,2.0,1.4,6.0,6.0,2.0,0.0,0.0,5.0
Krzysztof Jotko,Brendan Allen,0,2.0,-2.5400000000000205,-6.357289527720739,-0.98,0.1100000000000001,-11.0,-3.0,-1.6600000000000001,27.0,11.0,-1.5,2.0,1.0,0.0,0.0,0.0,5.0
Joaquim Silva,Jesse Ronson,1,-1.0,-5.0800000000000125,3.1184120465434635,0.16999999999999993,-0.29000000000000004,-7.0,22.0,1.4,1.0,-5.0,0.0,-9.0,-7.0,0.0,0.0,0.0,3.0
Ilir Latifi,Aleksei Oleinik,1,-7.0,-10.159999999999997,5.103353867214237,-1.2400000000000002,0.2899999999999998,-3.0,-11.0,-0.8699999999999997,63.0,12.0,-1.5999999999999999,-43.0,-8.0,-1.0,0.0,0.0,-1.0
Daniel Santos,John Castaneda,1,-4.0,2.539999999999992,3.2306639288158796,0.019999999999999574,0.20999999999999996,-10.0,12.0,0.3200000000000003,2.0,-5.0,-0.2,-8.0,-4.0,0.0,0.0,0.0,-2.0
Mike Davis,Viacheslav Borshchev,1,3.0,2.539999999999992,0.7474332648870636,1.2000000000000002,3.04,-5.0,53.0,2.7600000000000002,34.0,0.0,0.2,3.0,-1.0,0.0,0.0,0.0,0.0
Sodiq Yusuff,Don Shainis,1,4.0,7.619999999999976,2.6721423682409307,2.3,-0.69,-1.0,-5.0,-1.54,42.0,23.0,-1.5,1.0,-2.0,0.0,0.0,0.0,6.0
Trevin Jones,Raoni Barcelos,0,3.0,0.0,3.260780287474333,-3.25,-1.1800000000000002,-14.0,-22.0,-0.7400000000000002,-30.0,-22.0,-0.2,-4.0,5.0,0.0,0.0,0.0,-4.0
Randy Brown,Francisco Trinaldo,1,8.0,15.240000000000009,11.871321013004792,1.25,-0.17999999999999994,2.0,-3.0,0.6600000000000001,14.0,-6.0,0.0,-11.0,-4.0,0.0,0.0,0.0,-10.0
