fighter1,fighter2,win,reach_diff,height_diff,age_diff,slpm_diff,td_avg_diff,strike_acc_diff,td_acc_diff,sapm_diff,td_def_diff,strike_def_diff,sub_avg_diff,total_wins_diff,total_losses_diff,total_draws_diff,ufc_wins_diff,ufc_losses_diff,ufc_nc_diff
Evan Elder,Genaro Valdez,1,0.0,2.5400000000000205,5.234770704996578,0.6699999999999999,-0.8,18.0,-22.0,-2.16,-8.0,9.0,0.0,-2.0,-1.0,0.0,0.0,0.0,0.0
Melquizael Costa,Austin Lingo,1,1.0,0.0,2.1820670773442847,1.2500000000000004,1.4400000000000002,8.0,-29.0,-2.3300000000000005,-33.0,7.0,0.6,11.0,3.0,0.0,0.0,0.0,-3.0
Istela Nunes,Viktoriia Dudakova,0,-1.0,-2.539999999999992,-6.510609171800137,1.8799999999999994,-2.45,-7.0,-41.0,2.3899999999999997,0.0,10.0,0.0,-2.0,5.0,0.0,0.0,0.0,2.0
Melsik Baghdasaryan,Tucker Lutz,1,-2.0,2.539999999999992,-2.4531143052703626,1.54,-1.99,15.0,-44.0,-0.18999999999999995,3.0,14.0,-0.2,-4.0,-2.0,0.0,0.0,0.0,0.0
Nazim Sadykhov,Terrance McKinney,1,-4.0,0.0,-0.33401779603011633,-0.11000000000000032,-3.0,0.0,64.0,1.2100000000000004,-10.0,12.0,-0.5,-6.0,-5.0,0.0,0.0,0.0,-6.0
Chelsea Chandler,Norma Dumont,0,1.0,2.539999999999992,0.14510609171800137,-0.29000000000000004,-0.6099999999999999,-4.0,-31.0,1.07,-39.0,-24.0,0.0,-5.0,0.0,0.0,0.0,0.0,-6.0
JunYong Park,Albert Duraev,1,-2.0,-2.539999999999992,2.1437371663244353,1.9500000000000002,0.13000000000000012,11.0,21.0,0.6500000000000004,3.0,-6.0,0.6,1.0,0.0,0.0,0.0,0.0,5.0
Ottman Azaitar,Francisco Prado,0,2.0,-5.0800000000000125,-12.317590691307323,2.2700000000000005,0.0,1.0,0.0,1.13,75.0,2.0,-0.8,1.0,1.0,0.0,0.0,0.0,2.0
Jack Della Maddalena,Bassil Hafez,1,1.0,0.0,4.610540725530458,5.07,-2.73,28.0,5.0,-0.7000000000000002,32.0,28.0,0.3,8.0,-2.0,-1.0,0.0,0.0,5.0
Shannon Ross,Jesus Aguilar,0,4.0,5.0800000000000125,-6.836413415468857,4.890000000000001,-2.72,-11.0,-37.0,7.8999999999999995,100.0,-11.0,-1.8,4.0,6.0,0.0,0.0,0.0,0.0
Terrence Mitchell,Cameron Saaiman,0,7.0,5.0800000000000125,-10.973305954825461,-3.0700000000000003,2.69,-12.0,14.0,5.609999999999999,-44.0,-14.0,-0.8,5.0,3.0,0.0,0.0,0.0,-2.0
Vitor Petrino,Marcin Prachnio,1,3.0,-2.539999999999992,9.122518822724162,-2.0399999999999996,4.42,-5.0,73.0,-0.41000000000000014,14.0,-10.0,1.2,-7.0,-7.0,0.0,0.0,0.0,-6.0
Alonzo Menifield,Jimmy Crute,1,2.0,-5.0800000000000125,-8.37782340862423,0.13999999999999968,-4.22,3.0,-27.0,0.04999999999999982,15.0,8.0,-1.7,2.0,-1.0,0.0,0.0,0.0,2.0
Yazmin Jauregui,Denise Gomes,0,1.0,2.539999999999992,-0.8350444900752909,1.1899999999999995,-1.18,-8.0,-33.0,1.77,50.0,-1.0,-1.2,2.0,-1.0,0.0,0.0,0.0,0.0
Tatsuro Taira,Edgar Chairez,1,-1.0,0.0,4.0,0.6299999999999999,2.41,21.0,41.0,-3.0,15.0,6.0,1.4999999999999998,4.0,-5.0,0.0,0.0,0.0,2.0
Niko Price,Robbie Lawler,0,2.0,2.539999999999992,7.529089664613279,1.6099999999999999,0.04999999999999993,-5.0,-44.0,0.9299999999999997,-1.0,-11.0,0.7,-15.0,-9.0,0.0,0.0,0.0,-9.0
Bo Nickal,Val Woodburn,1,2.0,12.699999999999989,2.428473648186174,-0.40000000000000036,11.04,40.0,50.0,-10.5,-100.0,45.0,13.8,-2.0,-1.0,0.0,0.0,0.0,1.0
Jalin Turner,Dan Hooker,0,2.0,7.6200000000000045,5.256673511293634,0.7400000000000002,0.12,0.0,21.0,-0.14999999999999947,-5.0,-10.0,0.9,-10.0,-5.0,0.0,0.0,0.0,-11.0
Dricus Du Plessis,Robert Whittaker,1,3.0,2.539999999999992,3.0691307323750854,2.4800000000000004,1.87,13.0,11.0,0.3999999999999999,-42.0,-7.0,1.1,-5.0,-5.0,0.0,0.0,0.0,-14.0
Brandon Moreno,Alexandre Pantoja,0,3.0,5.0800000000000125,3.6440793976728267,-0.6100000000000003,-0.020000000000000018,-5.0,1.0,-0.41000000000000014,-2.0,5.0,-0.5,-5.0,2.0,2.0,0.0,0.0,2.0
Yair Rodriguez,Alexander Volkanovski,0,0.0,12.699999999999989,4.0191649555099245,-1.5600000000000005,-1.11,-11.0,-9.0,0.6500000000000004,-11.0,-7.0,0.49999999999999994,-10.0,1.0,0.0,0.0,0.0,-1.0
Ivana Petrovic,Luana Carolina,0,1.0,5.079999999999984,0.999315537303217,-3.1800000000000006,1.85,-15.0,8.0,-1.27,-10.0,5.0,1.3,-3.0,-3.0,0.0,0.0,0.0,-6.0
Guram Kutateladze,Elves Brener,0,0.0,2.539999999999992,-5.71937029431896,-0.1200000000000001,-0.3700000000000001,-1.0,-2.0,-0.9500000000000002,-10.0,3.0,0.0,-3.0,1.0,0.0,0.0,0.0,1.0
Karol Rosa,Yana Santos,1,-1.0,-2.5400000000000205,5.13347022587269,1.2699999999999996,0.2699999999999998,-1.0,-6.0,1.1400000000000001,26.0,-2.0,-0.1,3.0,-3.0,0.0,0.0,0.0,-1.0
Westin Wilson,Joanderson Brito,0,1.0,12.699999999999989,-6.047912388774812,-2.6399999999999997,-3.89,-2.0,-72.0,4.67,0.0,-24.0,9.8,1.0,5.0,-1.0,0.0,0.0,-3.0
Rinat Fakhretdinov,Kevin Lee,1,-3.0,7.6200000000000045,-0.9363449691991786,-0.6799999999999997,2.64,25.0,20.0,-2.8200000000000003,25.0,7.0,-0.30000000000000004,3.0,-7.0,0.0,0.0,0.0,-16.0
Brunno Ferreira,Nursulton Ruziboev,0,-4.0,-17.779999999999973,-1.0403832991101984,1.1100000000000003,-11.69,-13.0,-100.0,2.88,50.0,7.0,0.0,-25.0,-7.0,-2.0,0.0,0.0,1.0
Benoit Saint Denis,Ismael Bonfim,1,2.0,7.6200000000000045,-0.02737850787132101,0.6799999999999997,3.6099999999999994,-5.0,8.0,2.6099999999999994,-1.0,-32.0,1.4,-7.0,-3.0,0.0,0.0,0.0,3.0
Ariane Lipski,Melissa Gatto,1,-2.0,2.5400000000000205,-2.2642026009582477,-0.040000000000000036,-0.6399999999999999,-9.0,29.0,1.0700000000000003,15.0,-3.0,0.0,8.0,6.0,-2.0,0.0,0.0,6.0
Max Griffin,Michael Morales,0,-3.0,-2.539999999999992,-13.566050650239562,-1.08,-0.17999999999999994,1.0,-4.0,0.3999999999999999,-22.0,9.0,0.3,4.0,10.0,0.0,0.0,0.0,12.0
Damir Ismagulov,Grant Dawson,0,2.0,0.0,-3.047227926078029,0.3899999999999997,-2.68,-9.0,-8.0,0.16999999999999993,30.0,16.0,-1.5,4.0,1.0,-1.0,0.0,0.0,-3.0
Sean Strickland,Abus Magomedov,1,-2.0,-2.5400000000000205,0.487337440109514,0.22000000000000064,-0.63,-9.0,14.0,-4.15,84.0,6.0,0.2,3.0,0.0,-1.0,0.0,0.0,18.0
Jack Jenkins,Jamall Emmers,1,-6.0,-7.6200000000000045,4.2792607802874745,-0.5200000000000005,0.5800000000000001,14.0,29.0,-0.7200000000000002,-15.0,2.0,-0.2,-7.0,-4.0,0.0,0.0,0.0,-2.0
Trevor Peek,Chepe Mariscal,0,1.0,5.079999999999984,2.2012320328542097,0.41999999999999993,-1.4600000000000002,3.0,12.0,0.41999999999999993,-49.0,-8.0,-0.6,-6.0,-5.0,-1.0,0.0,0.0,1.0
Joshua Van,Zhalgas Zhumagulov,1,-1.0,2.539999999999992,13.114305270362765,2.76,-1.3,8.0,-19.0,1.0099999999999998,5.0,12.0,-0.2,-6.0,-8.0,0.0,0.0,0.0,-6.0
Tabatha Ricci,Gillian Robertson,1,-2.0,-10.159999999999997,-0.2327173169062286,1.52,1.7700000000000005,-8.0,7.0,1.2400000000000002,23.0,6.0,-0.7,-3.0,-7.0,0.0,0.0,0.0,-10.0
Mateusz Rebecki,Loik Radzhabov,1,-3.0,-10.159999999999997,2.130047912388775,2.9600000000000004,-3.8,11.0,14.0,-3.1299999999999994,16.0,17.0,1.2,1.0,-4.0,-1.0,0.0,0.0,0.0
Randy Brown,Wellington Turman,1,6.0,7.6200000000000045,-6.039698836413415,1.3399999999999999,-0.69,-2.0,20.0,-0.54,29.0,8.0,-0.30000000000000004,-1.0,-2.0,0.0,0.0,0.0,8.0
Phil Rowe,Neil Magny,0,0.0,0.0,2.9568788501026693,0.48999999999999977,-1.37,6.0,0.0,1.9200000000000004,4.0,1.0,0.10000000000000003,-18.0,-8.0,0.0,0.0,0.0,-26.0
Bruno Silva,Brendan Allen,0,-1.0,-5.0800000000000125,-6.458590006844627,0.46999999999999975,-0.1299999999999999,-2.0,-15.0,1.44,18.0,-3.0,-1.6,1.0,5.0,0.0,0.0,0.0,2.0
Bruno Silva,Brendan Allen,0,-10.0,-25.400000000000006,-5.7850787132101305,-0.9100000000000001,1.3499999999999999,-7.0,-12.0,-0.8000000000000003,9.0,13.0,-1.3,-9.0,0.0,2.0,0.0,0.0,2.0
Gabriel Santos,David Onama,0,-4.0,-5.0800000000000125,2.4777549623545516,-0.9199999999999999,3.4699999999999998,9.0,28.0,0.5499999999999998,21.0,-7.0,0.8999999999999999,-1.0,0.0,0.0,0.0,0.0,-3.0
Maycee Barber,Amanda Ribas,1,-1.0,5.079999999999984,4.725530458590007,-0.13000000000000078,-1.1300000000000001,10.0,-18.0,-0.52,-43.0,-10.0,-0.8,2.0,-2.0,0.0,0.0,0.0,1.0
Ilia Topuria,Josh Emmett,1,-1.0,2.539999999999992,11.885010266940451,0.3700000000000001,1.27,10.0,19.0,-1.6100000000000003,46.0,6.0,1.4,-4.0,-4.0,0.0,0.0,0.0,-7.0
Tereza Bleda,Gabriella Fernandes,1,5.0,7.619999999999976,8.2984257357974,1.3900000000000001,1.81,6.0,27.0,-0.8400000000000001,22.0,-1.0,0.7,-1.0,-2.0,0.0,0.0,0.0,0.0
Denys Bondar,Carlos Hernandez,0,2.0,-5.079999999999984,-1.3278576317590691,-0.6200000000000001,1.51,-1.0,34.0,2.01,-3.0,7.0,-0.3,7.0,3.0,0.0,0.0,0.0,-1.0
Cristian Quinonez,Kyung Ho Kang,0,-3.0,-2.539999999999992,8.629705681040383,2.1400000000000006,-1.3399999999999999,-7.0,43.0,2.2199999999999998,15.0,1.0,-0.9,-1.0,-5.0,0.0,0.0,0.0,-10.0
Jimmy Flick,Alessandro Costa,0,1.0,7.6200000000000045,-5.390828199863107,-1.8299999999999998,1.66,7.0,27.0,2.04,-91.0,-25.0,4.4,3.0,4.0,0.0,0.0,0.0,1.0
Nicolas Dalby,Muslim Salikhov,1,4.0,0.0,0.4380561259411362,0.56,-0.13000000000000012,-8.0,-9.0,0.48,-11.0,-10.0,0.1,3.0,0.0,1.0,0.0,0.0,2.0
Manuel Torres,Nikolas Motta,1,3.0,2.5400000000000205,2.1218343600273784,6.26,0.0,24.0,0.0,-0.9500000000000002,0.0,-2.0,0.0,1.0,-3.0,0.0,0.0,0.0,-1.0
Pat Sabatini,Lucas Almeida,1,-1.0,-7.6200000000000045,-0.2272416153319644,-3.34,3.83,12.0,45.0,-3.94,2.0,6.0,1.9,4.0,2.0,0.0,0.0,0.0,4.0
Armen Petrosyan,Christian Leroy Duncan,1,-8.0,2.539999999999992,-4.722792607802875,1.9399999999999995,0.23,2.0,33.0,-2.48,-14.0,14.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
Arman Tsarukyan,Joaquim Silva,1,3.0,-2.539999999999992,7.6796714579055445,0.10999999999999988,3.2600000000000002,8.0,-14.0,-2.88,17.0,2.0,-0.5,8.0,-2.0,0.0,0.0,0.0,0.0
Jared Cannonier,Marvin Vettori,1,3.0,-2.539999999999992,-9.514031485284052,0.1200000000000001,-1.22,7.0,-3.0,-0.11000000000000032,-6.0,3.0,-0.5,-2.0,-1.0,-1.0,0.0,0.0,1.0
